Instrument,RIC,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,cik,name,ticker,exchange,RIC_Suffix,Ticker
PCG.N,PCG.N,,,,,,,,,,,,,
PCG.N,PCG.N,,,,,,,,,,,,,
PCG.N,PCG.N,,,,,,,,,,,,,
PCG.N,PCG.N,,,,,,,,,,,,,
PCG.N,PCG.N,,,,,,,,,,,,,
PCG.N,PCG.N,,,,,,,,,,,,,
PEG.N,PEG.N,,,,,,,,,,,,,
PEP.O,PEP.O,,,,,,,,,,,,,
PFE.N,PFE.N,,,,,,,,,,,,,
PG.N,PG.N,,,,,,,,,,,,,
PH.N,PH.N,,,,,,,,,,,,,
PHM.N,PHM.N,,,,,,,,,,,,,
PKG.N,PKG.N,,,,,,,,,,,,,
PLD.N,PLD.N,,,,,,,,,,,,,
PLD.PK,,,,,,,,,,,,,,
PLTR.O,PLTR.O,,,,,,,,,,,,,
PM.N,PM.N,,,,,,,,,,,,,
PNR.N,PNR.N,,,,,,,,,,,,,
PNW.N,PNW.N,,,,,,,,,,,,,
PODD.O,PODD.O,,,,,,,,,,,,,
POOL.O,POOL.O,,,,,,,,,,,,,
PPG.N,PPG.N,,,,,,,,,,,,,
PPL.N,PPL.N,,,,,,,,,,,,,
PSA.N,PSA.N,,,,,,,,,,,,,
PSA.N,PSA.N,,,,,,,,,,,,,
PSA.N,PSA.N,,,,,,,,,,,,,
PSA.N,PSA.N,,,,,,,,,,,,,
PSA.N,PSA.N,,,,,,,,,,,,,
PSA.N,PSA.N,,,,,,,,,,,,,
PSA.N,PSA.N,,,,,,,,,,,,,
PSA.N,PSA.N,,,,,,,,,,,,,
PSA.N,PSA.N,,,,,,,,,,,,,
PSA.N,PSA.N,,,,,,,,,,,,,
PSA.N,PSA.N,,,,,,,,,,,,,
PSA.N,PSA.N,,,,,,,,,,,,,
PSA.N,PSA.N,,,,,,,,,,,,,
PSA.N,PSA.N,,,,,,,,,,,,,
PSA.N,PSA.N,,,,,,,,,,,,,
PSX.N,PSX.N,,,,,,,,,,,,,
PTC.O,,,,,,,,,,,,,,
PWR.N,PWR.N,,,,,,,,,,,,,
QCOM.O,QCOM.O,,,,,,,,,,,,,
RCL.N,RCL.N,,,,,,,,,,,,,
REG.O,REG.O,,,,,,,,,,,,,
REG.O,REG.O,,,,,,,,,,,,,
REG.O,REG.O,,,,,,,,,,,,,
REGN.O,REGN.O,,,,,,,,,,,,,
RL.N,RL.N,,,,,,,,,,,,,
RMD.N,RMD.N,,,,,,,,,,,,,
RMD.PK,,,,,,,,,,,,,,
ROK.N,ROK.N,,,,,,,,,,,,,
ROL.N,ROL.N,,,,,,,,,,,,,
ROP.O,ROP.O,,,,,,,,,,,,,
ROST.O,ROST.O,,,,,,,,,,,,,
RSG.N,RSG.N,,,,,,,,,,,,,
RTX.N,RTX.N,,,,,,,,,,,,,
